Название серии,Название модели,Год выпуска,Количество продаж (шт),Цена ($),Комплект поставки
"Barbie Fashionistas,Barbie Fashionista #1,2009,500,19.99,Кукла; одежда; аксессуары"
"Barbie Fashionistas,Barbie Fashionista #2,2009,450,19.99,Кукла; одежда; аксессуары"
"Barbie Dreamhouse,Barbie Dreamhouse Adventures,2018,300,24.99,Кукла; одежда; аксессуары; мини-дом"
"Barbie Extra,Barbie Extra #1,2020,200,29.99,Кукла; одежда; аксессуары"
"Barbie Extra,Barbie Extra #2,2020,220,29.99,Кукла; одежда; аксессуары"
"Barbie Collector,Barbie 60th Anniversary,2019,150,50.00,Кукла; платье; аксессуары"
"Barbie Signature,Barbie Lunar New Year,2022,100,75.00,Кукла; традиционная одежда; аксессуары"
"Barbie Signature,Barbie Dia De Muertos,2021,120,75.00,Кукла; праздничная одежда; аксессуары"
"Barbie Pink Label,Barbie Wonder Woman,2017,180,39.99,Кукла; костюм; аксессуары"
"Barbie Pink Label,Barbie Star Trek,2016,140,39.99,Кукла; костюм; аксессуары"
"Barbie Basics,Barbie Basics Model #1,2010,90,19.99,Кукла; одежда"
"Barbie Basics,Barbie Basics Model #2,2010,95,19.99,Кукла; одежда"
"Barbie Movie,Barbie as Rapunzel,2002,250,24.99,Кукла; платье; аксессуары"
"Barbie Movie,Barbie as Swan Lake,2003,260,24.99,Кукла; платье; аксессуары"
"Barbie Fairytopia,Elina,2005,300,19.99,Кукла; платье; крылья"
"Barbie Fairytopia,Mermaidia Nori,2006,280,19.99,Кукла; одежда; хвост русалки"
"Barbie Princess,Barbie Princess Charm School,2011,270,24.99,Кукла; платье; аксессуары"
"Barbie Princess,Barbie Princess and the Popstar,2012,260,24.99,Кукла; платье; микрофон"
"Barbie I Can Be,Barbie I Can Be a Doctor,2010,220,19.99,Кукла; медицинская одежда; аксессуары"
"Barbie I Can Be,Barbie I Can Be a Pilot,2010,210,19.99,Кукла; пилотская форма; аксессуары"
"Barbie Careers,Barbie Careers Astronaut,2013,190,24.99,Кукла; космический костюм; аксессуары"
"Barbie Careers,Barbie Careers Vet,2014,195,24.99,Кукла; ветеринарная одежда; аксессуары; животные"
"Barbie Holiday,Holiday Barbie 2018,2018,200,39.99,Кукла; праздничное платье; аксессуары"
"Barbie Holiday,Holiday Barbie 2019,2019,210,39.99,Кукла; праздничное платье; аксессуары"
"Barbie Sports,Barbie Olympic Gymnast,2020,180,24.99,Кукла; гимнастический костюм; аксессуары"
"Barbie Sports,Barbie Soccer Player,2020,170,24.99,Кукла; футбольная форма; мяч"
"Barbie Fashion,Barbie Chic,2001,250,29.99,Кукла; одежда; аксессуары"
"Barbie Fashion,Barbie Style,2014,230,24.99,Кукла; одежда; аксессуары"
"Barbie Fashionistas,Barbie Fashionista #3,2010,400,19.99,Кукла; одежда; аксессуары"
"Barbie Fashionistas,Barbie Fashionista #4,2010,420,19.99,Кукла; одежда; аксессуары"
